,level,subject,gender,year,value_perc,category
287,Advanced,Latin and ancient culture,Men,2017,71.3,Languages
288,Advanced,Informatics,Men,2017,32.8,Sciences
289,Advanced,Kashubian,Men,2017,70.0,Languages
290,Advanced,Lemko ,Men,2017,86.5,Languages
291,Advanced,Polish ,Altogether,2017,49.7,Humanistic
292,Advanced,Belarusian,Altogether,2017,100.0,Languages
293,Advanced,Lithuanian ,Altogether,2017,76.7,Languages
294,Advanced,Ukrainian ,Altogether,2017,80.5,Languages
295,Advanced,Maths,Altogether,2017,36.9,Sciences
296,Advanced,English,Altogether,2017,59.6,Languages
297,Advanced,German,Altogether,2017,55.6,Languages
298,Advanced,French,Altogether,2017,61.5,Languages
299,Advanced,Russian,Altogether,2017,57.0,Languages
300,Advanced,Spanish ,Altogether,2017,54.7,Languages
301,Advanced,Italian ,Altogether,2017,68.1,Languages
302,Advanced,Civics,Altogether,2017,26.4,Humanistic
303,Advanced,Geography,Altogether,2017,30.6,Sciences
304,Advanced,Biology,Altogether,2017,36.6,Sciences
305,Advanced,Chemistry,Altogether,2017,41.2,Sciences
306,Advanced,History,Altogether,2017,33.3,Humanistic
307,Advanced,Physics,Altogether,2017,40.2,Sciences
308,Advanced,History of music,Altogether,2017,46.6,Humanistic
309,Advanced,History of art,Altogether,2017,44.0,Humanistic
310,Advanced,Philosophy,Altogether,2017,42.0,Humanistic
311,Advanced,Latin and ancient culture,Altogether,2017,64.5,Languages
312,Advanced,Informatics,Altogether,2017,32.9,Sciences
313,Advanced,Kashubian,Altogether,2017,73.7,Languages
314,Advanced,Lemko ,Altogether,2017,90.0,Languages
315,Basic,Polish ,Women,2018,58.2,Humanistic
316,Basic,Belarusian,Women,2018,73.4,Languages
317,Basic,Lithuanian ,Women,2018,79.6,Languages
318,Basic,Ukrainian ,Women,2018,78.5,Languages
319,Basic,Maths,Women,2018,55.2,Sciences
320,Basic,English,Women,2018,72.4,Languages
321,Basic,German,Women,2018,62.0,Languages
322,Basic,French,Women,2018,81.8,Languages
323,Basic,Russian,Women,2018,62.4,Languages
324,Basic,Spanish ,Women,2018,78.6,Languages
325,Basic,Italian ,Women,2018,81.5,Languages
326,Basic,Polish ,Men,2018,51.9,Humanistic
327,Basic,Belarusian,Men,2018,62.5,Languages
328,Basic,Lithuanian ,Men,2018,77.0,Languages
329,Basic,Ukrainian ,Men,2018,72.7,Languages
330,Basic,Maths,Men,2018,56.1,Sciences
331,Basic,English,Men,2018,73.9,Languages
332,Basic,German,Men,2018,60.3,Languages
333,Basic,French,Men,2018,83.3,Languages
334,Basic,Russian,Men,2018,57.7,Languages
335,Basic,Spanish ,Men,2018,80.0,Languages
336,Basic,Italian ,Men,2018,82.5,Languages
337,Basic,Polish ,Altogether,2018,55.3,Humanistic
338,Basic,Belarusian,Altogether,2018,70.0,Languages
339,Basic,Lithuanian ,Altogether,2018,78.8,Languages
340,Basic,Ukrainian ,Altogether,2018,76.4,Languages
