level,subject,gender,year,value_perc
Advanced,English,Altogether,2018,57.3
Advanced,German,Altogether,2018,54.3
Advanced,French,Altogether,2018,67.0
Advanced,Russian,Altogether,2018,59.3
Advanced,Spanish ,Altogether,2018,55.5
Advanced,Italian ,Altogether,2018,69.6
Advanced,Civics,Altogether,2018,27.9
Advanced,Geography,Altogether,2018,30.4
Advanced,Biology,Altogether,2018,32.0
Advanced,Chemistry,Altogether,2018,39.7
Advanced,History,Altogether,2018,32.4
Advanced,Physics,Altogether,2018,35.0
Advanced,History of music,Altogether,2018,45.7
Advanced,History of art,Altogether,2018,44.4
Advanced,Philosophy,Altogether,2018,38.9
Advanced,Latin and ancient culture,Altogether,2018,58.0
Advanced,Informatics,Altogether,2018,34.1
Advanced,Kashubian,Altogether,2018,61.9
Advanced,Lemko ,Altogether,2018,95.0
Basic,Polish ,Women,2019,54.6
Basic,Belarusian,Women,2019,75.3
Basic,Lithuanian ,Women,2019,77.5
Basic,Ukrainian ,Women,2019,73.0
Basic,Maths,Women,2019,58.1
Basic,English,Women,2019,71.5
Basic,German,Women,2019,61.3
Basic,French,Women,2019,80.5
Basic,Russian,Women,2019,67.3
Basic,Spanish ,Women,2019,76.4
Basic,Italian ,Women,2019,81.4
Basic,Polish ,Men,2019,48.5
Basic,Belarusian,Men,2019,66.8
Basic,Lithuanian ,Men,2019,73.6
Basic,Ukrainian ,Men,2019,68.7
Basic,Maths,Men,2019,58.8
Basic,English,Men,2019,73.5
Basic,German,Men,2019,60.5
Basic,French,Men,2019,82.0
Basic,Russian,Men,2019,59.8
Basic,Spanish ,Men,2019,78.5
Basic,Italian ,Men,2019,83.1
Basic,Polish ,Altogether,2019,51.8
Basic,Belarusian,Altogether,2019,72.2
Basic,Lithuanian ,Altogether,2019,76.3
Basic,Ukrainian ,Altogether,2019,71.8
Basic,Maths,Altogether,2019,58.4
Basic,English,Altogether,2019,72.4
Basic,German,Altogether,2019,61.1
Basic,French,Altogether,2019,80.9
Basic,Russian,Altogether,2019,64.7
Basic,Spanish ,Altogether,2019,77.0
Basic,Italian ,Altogether,2019,81.9
Advanced,Polish ,Women,2019,56.4
Advanced,Belarusian,Women,2019,100.0
Advanced,Lithuanian ,Women,2019,90.9
Advanced,Ukrainian ,Women,2019,83.3
Advanced,Maths,Women,2019,42.6
Advanced,English,Women,2019,56.0
Advanced,German,Women,2019,55.7
Advanced,French,Women,2019,66.6
Advanced,Russian,Women,2019,61.9
Advanced,Spanish ,Women,2019,54.7
Advanced,Italian ,Women,2019,71.1
Advanced,Civics,Women,2019,25.1
Advanced,Geography,Women,2019,28.4
Advanced,Biology,Women,2019,32.7
Advanced,Chemistry,Women,2019,38.9
Advanced,History,Women,2019,34.7
Advanced,Physics,Women,2019,44.0
Advanced,History of music,Women,2019,49.7
Advanced,History of art,Women,2019,50.1
Advanced,Philosophy,Women,2019,37.5
Advanced,Latin and ancient culture,Women,2019,60.0
Advanced,Informatics,Women,2019,38.8
Advanced,Kashubian,Women,2019,51.1
Advanced,Lemko ,Women,2019,92.5
Advanced,Polish ,Men,2019,51.6
Advanced,Belarusian,Men,2019,100.0
Advanced,Lithuanian ,Men,2019,87.0
Advanced,Ukrainian ,Men,2019,60.3
Advanced,Maths,Men,2019,36.2
Advanced,English,Men,2019,56.5
Advanced,German,Men,2019,56.8
Advanced,French,Men,2019,65.7
Advanced,Russian,Men,2019,63.5
Advanced,Spanish ,Men,2019,50.9
Advanced,Italian ,Men,2019,70.8
Advanced,Civics,Men,2019,29.3
Advanced,Geography,Men,2019,29.3
Advanced,Biology,Men,2019,34.8
Advanced,Chemistry,Men,2019,44.0
Advanced,History,Men,2019,38.7
Advanced,Physics,Men,2019,41.9
Advanced,History of music,Men,2019,40.4
Advanced,History of art,Men,2019,41.1
Advanced,Philosophy,Men,2019,35.8
Advanced,Latin and ancient culture,Men,2019,61.7
Advanced,Informatics,Men,2019,36.3
Advanced,Kashubian,Men,2019,30.5
Advanced,Lemko ,Men,2019,78.0
Advanced,Polish ,Altogether,2019,55.3
Advanced,Belarusian,Altogether,2019,100.0
Advanced,Lithuanian ,Altogether,2019,89.9
Advanced,Ukrainian ,Altogether,2019,78.9
Advanced,Maths,Altogether,2019,38.6
Advanced,English,Altogether,2019,56.2
Advanced,German,Altogether,2019,56.1
Advanced,French,Altogether,2019,66.4
Advanced,Russian,Altogether,2019,62.4
Advanced,Spanish ,Altogether,2019,53.8
Advanced,Italian ,Altogether,2019,71.0
Advanced,Civics,Altogether,2019,26.8
Advanced,Geography,Altogether,2019,28.8
Advanced,Biology,Altogether,2019,33.2
Advanced,Chemistry,Altogether,2019,40.2
Advanced,History,Altogether,2019,36.8
Advanced,Physics,Altogether,2019,42.4
Advanced,History of music,Altogether,2019,46.3
Advanced,History of art,Altogether,2019,48.4
Advanced,Philosophy,Altogether,2019,36.7
Advanced,Latin and ancient culture,Altogether,2019,60.5
Advanced,Informatics,Altogether,2019,36.5
Advanced,Kashubian,Altogether,2019,44.2
Advanced,Lemko ,Altogether,2019,87.7
Basic,Polish ,Women,2020,55.3
Basic,Belarusian,Women,2020,75.6
Basic,Lithuanian ,Women,2020,82.7
Basic,Ukrainian ,Women,2020,81.3
Basic,Maths,Women,2020,52.4
Basic,English,Women,2020,69.9
Basic,German,Women,2020,55.1
Basic,French,Women,2020,84.7
Basic,Russian,Women,2020,60.9
Basic,Spanish ,Women,2020,75.0
Basic,Italian ,Women,2020,80.4
Basic,Polish ,Men,2020,48.4
Basic,Belarusian,Men,2020,64.1
Basic,Lithuanian ,Men,2020,79.8
Basic,Ukrainian ,Men,2020,73.0
Basic,Maths,Men,2020,52.1
Basic,English,Men,2020,72.6
Basic,German,Men,2020,55.2
Basic,French,Men,2020,82.7
Basic,Russian,Men,2020,57.8
Basic,Spanish ,Men,2020,75.7
Basic,Italian ,Men,2020,75.0
Basic,Polish ,Altogether,2020,52.1
Basic,Belarusian,Altogether,2020,71.0
Basic,Lithuanian ,Altogether,2020,81.4
Basic,Ukrainian ,Altogether,2020,77.7
Basic,Maths,Altogether,2020,52.3
Basic,English,Altogether,2020,71.1
Basic,German,Altogether,2020,55.1
Basic,French,Altogether,2020,84.1
Basic,Russian,Altogether,2020,59.7
Basic,Spanish ,Altogether,2020,75.2
Basic,Italian ,Altogether,2020,78.9
Advanced,Polish ,Women,2020,58.1
Advanced,Belarusian,Women,2020,98.6
Advanced,Lithuanian ,Women,2020,85.2
Advanced,Ukrainian ,Women,2020,82.6
Advanced,Maths,Women,2020,37.6
Advanced,English,Women,2020,55.7
Advanced,German,Women,2020,56.1
Advanced,French,Women,2020,60.6
Advanced,Russian,Women,2020,65.8
Advanced,Spanish ,Women,2020,55.7
Advanced,Italian ,Women,2020,70.7
Advanced,Civics,Women,2020,27.0
Advanced,Geography,Women,2020,20.3
Advanced,Biology,Women,2020,43.0
Advanced,Chemistry,Women,2020,36.4
Advanced,History,Women,2020,30.9
Advanced,Physics,Women,2020,35.4
Advanced,History of music,Women,2020,53.2
Advanced,History of art,Women,2020,42.5
Advanced,Philosophy,Women,2020,38.2
Advanced,Latin and ancient culture,Women,2020,45.5
Advanced,Informatics,Women,2020,32.6
Advanced,Kashubian,Women,2020,63.2
Advanced,Lemko ,Women,2020,0.0
Advanced,Polish ,Men,2020,54.7
Advanced,Belarusian,Men,2020,98.8
Advanced,Lithuanian ,Men,2020,82.7
Advanced,Ukrainian ,Men,2020,68.3
Advanced,Maths,Men,2020,31.2
Advanced,English,Men,2020,55.9
Advanced,German,Men,2020,55.8
Advanced,French,Men,2020,57.9
Advanced,Russian,Men,2020,68.9
Advanced,Spanish ,Men,2020,54.0
Advanced,Italian ,Men,2020,71.0
Advanced,Civics,Men,2020,32.5
Advanced,Geography,Men,2020,20.8
Advanced,Biology,Men,2020,43.2
Advanced,Chemistry,Men,2020,43.5
Advanced,History,Men,2020,35.6
Advanced,Physics,Men,2020,34.2
Advanced,History of music,Men,2020,44.0
Advanced,History of art,Men,2020,34.2
Advanced,Philosophy,Men,2020,36.5
Advanced,Latin and ancient culture,Men,2020,53.2
Advanced,Informatics,Men,2020,28.6
Advanced,Kashubian,Men,2020,64.3
Advanced,Lemko ,Men,2020,0.0
Advanced,Polish ,Altogether,2020,57.3
Advanced,Belarusian,Altogether,2020,98.6
Advanced,Lithuanian ,Altogether,2020,84.4
Advanced,Ukrainian ,Altogether,2020,76.0
Advanced,Maths,Altogether,2020,33.7
Advanced,English,Altogether,2020,55.8
Advanced,German,Altogether,2020,56.0
Advanced,French,Altogether,2020,60.0
Advanced,Russian,Altogether,2020,66.9
Advanced,Spanish ,Altogether,2020,55.3
Advanced,Italian ,Altogether,2020,70.8
Advanced,Civics,Altogether,2020,29.3
Advanced,Geography,Altogether,2020,20.5
Advanced,Biology,Altogether,2020,43.0
Advanced,Chemistry,Altogether,2020,38.3
Advanced,History,Altogether,2020,33.4
Advanced,Physics,Altogether,2020,34.5
Advanced,History of music,Altogether,2020,49.5
Advanced,History of art,Altogether,2020,40.9
Advanced,Philosophy,Altogether,2020,37.4
Advanced,Latin and ancient culture,Altogether,2020,47.7
Advanced,Informatics,Altogether,2020,29.0
Advanced,Kashubian,Altogether,2020,63.5
Advanced,Lemko ,Altogether,2020,0.0
Basic,Polish ,Women,2021,58.1
Basic,Belarusian,Women,2021,72.0
Basic,Lithuanian ,Women,2021,80.3
Basic,Ukrainian ,Women,2021,84.0
Basic,Maths,Women,2021,56.5
Basic,English,Women,2021,75.4
Basic,German,Women,2021,58.6
Basic,French,Women,2021,81.5
Basic,Russian,Women,2021,69.4
Basic,Spanish ,Women,2021,75.9
Basic,Italian ,Women,2021,80.2
Basic,Polish ,Men,2021,51.9
Basic,Belarusian,Men,2021,59.7
Basic,Lithuanian ,Men,2021,68.4
Basic,Ukrainian ,Men,2021,80.2
Basic,Maths,Men,2021,56.3
Basic,English,Men,2021,77.4
Basic,German,Men,2021,57.9
Basic,French,Men,2021,83.5
Basic,Russian,Men,2021,65.2
Basic,Spanish ,Men,2021,77.8
Basic,Italian ,Men,2021,82.2
Basic,Polish ,Altogether,2021,55.2
Basic,Belarusian,Altogether,2021,67.0
Basic,Lithuanian ,Altogether,2021,75.1
Basic,Ukrainian ,Altogether,2021,82.7
Basic,Maths,Altogether,2021,56.4
Basic,English,Altogether,2021,76.3
Basic,German,Altogether,2021,58.4
Basic,French,Altogether,2021,82.0
Basic,Russian,Altogether,2021,67.9
Basic,Spanish ,Altogether,2021,76.4
Basic,Italian ,Altogether,2021,80.8
Advanced,Polish ,Women,2021,50.3
Advanced,Belarusian,Women,2021,100.0
Advanced,Lithuanian ,Women,2021,87.4
Advanced,Ukrainian ,Women,2021,66.6
Advanced,Maths,Women,2021,34.4
Advanced,English,Women,2021,65.3
Advanced,German,Women,2021,58.2
Advanced,French,Women,2021,63.9
Advanced,Russian,Women,2021,74.8
Advanced,Spanish ,Women,2021,60.0
Advanced,Italian ,Women,2021,71.6
Advanced,Civics,Women,2021,25.1
Advanced,Geography,Women,2021,33.0
Advanced,Biology,Women,2021,32.8
Advanced,Chemistry,Women,2021,33.3
Advanced,History,Women,2021,33.4
Advanced,Physics,Women,2021,38.1
Advanced,History of music,Women,2021,48.8
Advanced,History of art,Women,2021,44.7
Advanced,Philosophy,Women,2021,29.0
Advanced,Latin and ancient culture,Women,2021,48.8
Advanced,Informatics,Women,2021,40.2
Advanced,Kashubian,Women,2021,55.0
Advanced,Lemko ,Women,2021,89.0
Advanced,Polish ,Men,2021,44.9
Advanced,Belarusian,Men,2021,100.0
Advanced,Lithuanian ,Men,2021,68.1
Advanced,Ukrainian ,Men,2021,63.6
Advanced,Maths,Men,2021,29.3
Advanced,English,Men,2021,64.6
